+-----+-----------------------+-----------+----------------------------+-----+
| d   | G                     | ell       | field                      | ind |
| 24  | {\rm PSU}_{4}(2)      | 0         |                            | 1   |
| 24  | {\rm PSp}_{4}(7)      | 2         | b7                         | 0   |
| 24  | 2.{\rm PSp}_{4}(7)    | ! 2,7     | b7                         | 0   |
| 24  | 2.Sz(8)               | 13        | y7                         | 1   |
| 24  | {\rm M}_{11}          | 3         |                            | 1   |
| 24  | 12.{\rm M}_{22}       | 11        | z24, b7                    | -1  |
| 24  | {\rm Co}_1            | 2         |                            | 1   |
| 24  | 2.{\rm Co}_1          | ! 2       |                            | 1   |
| 25  | {\rm PSp}_{4}(7)      | ! 2,7     | b7                         | 0   |
| 25  | {}^3D_4(2)            | 3         |                            | 1   |
| 26  | A_{9}                 | 2         |                            | 1   |
| 26  | A_{10}                | 2         |                            | 1   |
| 26  | {\rm PSL}_{3}(3)      | 0,13      | i2                         | 0   |
| 26  | {\rm PSL}_{3}(3)      | ! 3       |                            | 1   |
| 26  | 2.{\rm PSL}_{3}(4)    | 7         |                            | 1   |
| 26  | {\rm PSL}_{4}(3)      | ! 3       |                            | 1   |
| 26  | {\rm PSU}_{3}(3)      | 7         |                            | 1   |
| 26  | {\rm PSp}_{6}(2)      | 7         |                            | 1   |
| 26  | {}^3D_{4}(2)          | ! 2,3     |                            | 1   |
| 26  | {}^2F_4(2)'           | 2         |                            | 1   |
| 26  | {}^2F_4(2)'           | ! 2       | i2                         | 0   |
| 27  | A_{9}                 | ! 2,7     |                            | 1   |
| 27  | {\rm PSL}_{3}(3)      | 0         |                            | 1   |
| 27  | {\rm PSU}_{3}(3)      | 0         |                            | 1   |
| 27  | {\rm PSp}_{6}(2)      | ! 2,7     |                            | 1   |
| 27  | 3.{\rm O}_{7}(3)      | ! 3       | z3                         | 0   |
| 27  | 3.G_{2}(3)            | ! 3       | z3                         | 0   |
| 27  | {}^2F_4(2)'           | ! 2       | i1                         | 0   |
| 27  | {\rm J}_1             | 11        | b5, c19                    | 1   |
| 27  | 3.{\rm Fi}_{22}       | 2         | z3, b11                    | 0   |
| 28  | A_{8}                 | ! 2,5     |                            | 1   |
| 28  | A_{9}                 | ! 2,3     |                            | 1   |
| 28  | A_{10}                | 5         |                            | 1   |
| 28  | 2.{\rm PSL}_{3}(4)    | 5         |                            | 1   |
| 28  | 2.{\rm PSL}_{3}(4)    | 0,7       | b5                         | 1   |
| 28  | 4_2.{\rm PSL}_{3}(4)  | 5         | i1                         | 0   |
| 28  | 4_2.{\rm PSL}_{3}(4)  | ! 2,5     | i1, b5                     | 0   |
| 28  | {\rm PSU}_{3}(3)      | 0,7       | i1                         | 0   |
| 28  | {\rm PSU}_{3}(5)      | ! 5       |                            | 1   |
| 28  | {\rm O}_{8}^+(2)      | ! 2       |                            | 1   |
| 28  | 2.{\rm M}_{22}        | 5         | i1, r11                    | 0   |
| 28  | 2.{\rm HS}            | 5         | i1, r11                    | 0   |
| 28  | {\rm Ru}              | 2         |                            | 1   |
| 28  | 2.{\rm Ru}            | ! 2       | i1                         | 0   |
| 29  | {\rm PSL}_{3}(5)      | 31        |                            | 1   |
| 29  | {\rm PSL}_{5}(2)      | 31        |                            | 1   |
| 29  | {\rm M}_{12}          | 11        |                            | 1   |
| 30  | {\rm PSL}_{3}(5)      | ! 5,31    |                            | 1   |
| 30  | {\rm PSL}_{5}(2)      | ! 2,31    |                            | 1   |
| 30  | {\rm PSU}_{4}(2)      | 0,5       |                            | 1   |
| 30  | {\rm PSU}_{4}(2)      | 0,5       | z3                         | 0   |
